Rice Miami (Var.Lucky), marmite
Local Rice, marmite
Local Corn (not ground), marmite
Local Corn (ground), marmite
Imported corn (ground), marmite
Flour Wheat (bulgur), marmite
Sorghum, marmite
Black bean, marmite
Pinto bean, marmite
Red bean, marmite
Vigna bean, marmite
Congo bean (Pidgeon pea), marmite
Peanut, marmite
Unrefined sugar (brown or red), marmite
Refined sugar (white), marmite
Sea salt, marmite
Milk, carton
Spaghetti, 8oz.
Oil, gallon
Cassava bread, loaf
Yellow Yam, kg
Sweet Potatoes, kg
Sweet cassava root, kg
Green Plantain, bunch
Kerosene burning oil, gallon
Wood Charcoal, kg
Goat, unit
Sheep, unit
Pig, unit
Chicken, unit
Sausage Salami, unit
Local Agricultural Workforce Salary, day
Powder soap, kg
Soap bar, unit
Matches, box
Water container, 5 gallon
